t-3	t-2	t-1	t0	t1	Naive Bayes	n
continuous	continuous	continuous	continuous	continuous	discrete	continuous
					class	meta
-2328.61889461	-3591.51991252	-4854.42093042	-5402.95209948	-4779.72095801	-1040	226.0
2669.80055892	2742.34033693	2814.88011495	2848.68096426	2810.6729405	-26	228.0
-2099.18995138	-2246.59728643	-2394.00462148	-2390.18485467	-2288.27448169	-2133	230.0
2399.60267548	2501.51304847	2603.42342145	2626.74421385	2435.64391499	-26	231.0
-1959.66295866	-2150.76325751	-2341.86355637	-2322.80723574	-2232.99042636	-2133	232.0
-1249.48608222	-1640.87691605	-2032.26774988	-1918.28157924	-1748.79019918	-2133	234.0
1302.05464183	1471.54602189	1641.03740194	1698.42484545	1564.04574685	-26	235.0
-182.88253493	-317.261633528	-451.640732126	-531.011346941	-475.948555894	-2133	236.0
735.432847141	790.495638188	845.558429235	834.372931823	766.28699267	-26	237.0
-1755.1540611	-2039.64644052	-2324.13881994	-2530.59658283	-2436.44663568	-2133	242.0
3378.33893618	3413.69718917	3449.05544216	2835.45270463	2033.77943888	-26	244.0
-355.506153721	-463.502439325	-571.49872493	-651.477764218	-604.267232687	-2133	247.0
-835.435943764	-945.031176891	-1054.62641002	-1152.0157374	-1076.37486026	-2133	250.0
8623.83188953	8718.66812217	8813.50435481	8159.88821681	7286.90559757	2133	252.0
4945.05523528	5126.54288377	5308.03053227	5290.1236146	4943.46456491	2133	254.0
-3723.01167725	-4069.67072694	-4416.32977663	-4303.72647012	-4091.74097921	-1040	255.0
-8871.03366741	-9617.09414758	-10363.1546278	-10277.5801568	-9814.69343066	-1040	261.0
-676.47762389	-789.552841944	-902.628059997	-873.103305455	-793.539437307	-2133	263.0
1195.55726639	1275.12113454	1354.68500269	1312.35302845	1150.95349738	-26	264.0
-947.24040651	-1108.63993758	-1270.03946865	-1199.1172597	-1123.8539744	-2133	265.0
764.22813049	804.94129955	845.654468611	829.42273802	778.743584442	-26	267.0
1380.02710384	1423.47014317	1466.91318251	1475.39473013	1405.12047143	-26	272.0
-281.461737279	-351.735995975	-422.010254672	-450.770749876	-424.713628913	-2133	273.0
-2401.68734188	-2563.95105386	-2726.21476585	-2831.88969927	-2735.3400171	-2106	277.0
933.547905089	1030.09758725	1126.64726942	1158.50750417	1061.07156718	-26	278.0
-1179.95498352	-1277.3909205	-1374.82685749	-1461.70814663	-1394.93591644	-2133	279.0
-1565.42531623	-1738.23420377	-1911.04309132	-1970.49343431	-1866.81937399	-2133	281.0
4871.99454689	4975.66860721	5079.34266753	4963.49584028	4759.69046452	2133	282.0
-2373.49768708	-2577.30306284	-2781.1084386	-2917.27051808	-2850.30326387	-2106	283.0
2903.72919818	3003.85779123	3103.98638427	2900.8603183	2561.65631627	-26	289.0
-830.383704102	-1169.58770614	-1508.79170818	-1659.79209777	-1549.40914789	-2133	290.0
3148.63856453	3181.97539685	3215.31222918	3149.07783434	2748.4543302	-26	292.0
-3260.89823197	-3661.52173612	-4062.14524026	-3908.70542103	-3695.75798086	-1040	293.0
23644.3058342	23734.4158604	23824.5258867	23869.6319602	23490.1555747	2133	297.0
-14836.9593578	-15216.4357433	-15595.9121288	-15751.4124988	-15542.243664	-1040	298.0
-304.409680072	-190.702593027	-76.9955059817	-433.699378418	-1231.0401451	-2133	300.0
1930.99033954	2154.42394001	2377.85754047	2500.4653219	2308.95321707	-26	302.0
-755.240460191	-946.75256502	-1138.26466985	-1079.35748604	-998.033062007	-2133	303.0
3403.35019422	3419.37813828	3435.40608233	3428.73462676	3377.80950855	-26	305.0
-4704.78054516	-5017.3457087	-5329.91087224	-5596.65858029	-5299.19994754	-1040	307.0
1605.43661972	1705.77640845	1806.11619718	1748.32768329	1609.9145552	-26	310.0
87.3701462167	-51.0429818731	-189.456109963	-284.110996053	-243.697687435	-2133	311.0
-328.925758215	-363.011241429	-397.096724643	-394.01705518	-370.994057766	-2133	314.0
-2.62609913135	20.3968982833	43.4198956979	6.97749573272	-36.9700517064	-2133	315.0
3960.26747622	4016.32253737	4072.37759852	3711.54160739	3143.30617898	2160	320.0
-3675.51896195	-4243.75439036	-4811.98981877	-4696.7786526	-4390.77613319	-1040	321.0
3246.2656775	3333.14071596	3420.01575442	3251.46003414	2874.97759496	-26	326.0
-2395.77655362	-2772.25899281	-3148.74143199	-3226.32600582	-3051.79647578	-2106	327.0
-283.283532836	-320.550882598	-357.818232361	-365.986968813	-339.783949698	-2133	329.0
1229.48684923	1270.54967621	1311.61250318	1333.55268067	1256.98386569	-26	331.0
-350.961248742	-427.530063716	-504.098878689	-575.291079812	-539.614710485	-2133	332.0
2506.27786033	2606.52897474	2706.78008915	2753.61186641	2669.39429115	-26	337.0
1864.08070489	1944.20564861	2024.33059233	1918.51873076	1709.10872444	-26	340.0
-1432.04137046	-1641.45137679	-1850.86138312	-1991.01714507	-1887.00384755	-2133	341.0
4224.62344319	4248.1273508	4271.63125841	4291.32618462	3652.48945788	2133	345.0
371.196610633	424.053185712	476.909760791	412.388738167	300.96732168	-26	348.0
-367.561177243	-478.98259373	-590.404010218	-690.100423154	-610.117468829	-2133	349.0
4663.10941213	4724.17159084	4785.23376954	4843.1366818	4252.35620541	2133	351.0
-3427.78998765	-4018.57046403	-4609.35094042	-4935.08523425	-4689.10557346	-1040	352.0
-516.847138332	-608.738507813	-700.629877295	-761.007174426	-704.553958165	-2133	354.0
3002.67598843	3102.76518804	3202.85438766	3209.82090716	3050.59891317	-26	357.0
10192.9853285	10263.6587063	10334.3320841	10282.9283404	9275.88719687	2133	361.0
2470.92769402	2562.41903414	2653.91037426	2681.78749435	2395.38906866	-26	364.0
-1614.18889094	-1900.58731663	-2186.98574231	-2056.60915039	-1860.50414882	-2133	365.0
-3036.39537473	-3260.6314427	-3484.86751067	-3460.10801196	-3408.08085298	-1040	369.0
6658.80786636	6735.13537884	6811.46289131	6283.49582914	5575.26840211	2133	372.0
-5048.14300336	-5756.37043039	-6464.59785742	-6614.2107593	-6337.86567892	-1040	373.0
3035.6867113	3075.03048343	3114.37425556	3143.46822417	3074.34966951	-26	375.0
4192.07137827	4295.53993746	4399.00849665	4249.51164982	4089.86460045	2133	380.0
916.620773928	966.77989227	1016.93901061	957.885146966	826.038702889	-26	384.0
-756.118626036	-887.965070113	-1019.81151419	-968.862453941	-878.903356823	-2133	385.0
831.949647146	953.649014859	1075.34838257	1156.95046237	1066.92354329	-26	390.0
688.460974143	706.442604956	724.424235768	662.757329679	85.4397046136	-26	397.0
