t-4	t-3	t-2	t-1	t0	t1	t2	t3	s	n	p(7)	p(8)	p(15)	p(16)	p(240)
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous	continuous	continuous	continuous	continuous
								class	meta	meta	meta	meta	meta	meta
-144.049646703	-177.116541701	-210.1834367	-243.250331698	-267.991264218	-286.027842041	-304.064419864	-322.100997687	15	2147.0	0.48939165473	0.00191168615129	0.507890701294	0.000477921537822	0.000328041205648
1097.67860796	1271.73686518	1445.7951224	1619.85337961	1790.48351064	1652.40420006	1514.32488947	1376.24557889	240	2395.0	0.062016736716	0.0174422077835	5.28007149114e-09	0.000484505755594	0.920056521893
-1006.62880393	-1119.63896557	-1232.64912722	-1345.65928887	-1333.71588411	-1241.08842041	-1148.46095671	-1055.83349301	15	2032.0	0.48939165473	0.00191168615129	0.507890701294	0.000477921537822	0.000328041205648
6109.51186441	6209.66779661	6309.82372881	6409.97966102	6503.84195117	6308.83606098	6113.8301708	5918.82428061	240	2091.0	0.0263752546161	0.00370902032591	1.5075019412e-13	0.0527505092323	0.917165219784
-690.216040207	-731.700856516	-773.185672825	-814.670489134	-852.401705214	-821.638100086	-790.874494958	-760.110889829	15	2087.0	0.48939165473	0.00191168615129	0.507890701294	0.000477921537822	0.000328041205648
-298.870562232	-297.416632132	-295.962702031	-294.50877193	-253.622181037	-191.509268937	-129.396356837	-67.2834447375	15	1168.0	0.48939165473	0.00191168615129	0.507890701294	0.000477921537822	0.000328041205648
8213.5052594	8243.78864695	8274.07203451	8304.35542206	8269.63224392	7098.666256	5927.70026808	4756.73428016	240	2333.0	0.0263752546161	0.00370902032591	1.5075019412e-13	0.0527505092323	0.917165219784
10395.8268596	10501.6589725	10607.4910853	10713.3231982	10602.1410711	9671.3334621	8740.52585309	7809.71824407	240	2227.0	0.0263752546161	0.00370902032591	1.5075019412e-13	0.0527505092323	0.917165219784
4025.25062344	4151.88322052	4278.5158176	4405.14841468	3948.55978143	3327.53027469	2706.50076794	2085.4712612	240	2391.0	0.0263752546161	0.00370902032591	1.5075019412e-13	0.0527505092323	0.917165219784
8444.90623258	8567.18343376	8689.46063493	8811.73783611	7373.69446883	4918.23018597	2462.7659031	7.30162024105	240	2233.0	0.0690235495567	0.00970643665642	1.87392462658e-12	0.0690235495567	0.852246463299
14131.1468254	14231.3677249	14331.5886243	14431.8095238	14263.4017024	13883.1298544	13502.8580063	13122.5861582	240	2197.0	0.0263752546161	0.00370902032591	1.5075019412e-13	0.0527505092323	0.917165219784
